id,instruction,rule_total,rule_action,rule_param,rule_logic,llm_total,llm_intent,llm_param,llm_logic,llm_reasoning,gt_actions,gen_actions
wf_0001,我想把一种编程语言的代码翻译成另一种语言。,49.833333333333336,33.333333333333336,35.0,80,15.0,20,10,10,"The generated UTR fails to capture the complex multi-step translation process. Intent: Only captures basic translation concept (20/100). Parameters: Missing all key parameters like src_lang, dest_lang, code_to_translate, and detailed prompt templates (10/100). Logic: Single action vs. 5-step sequential flow with LLM generation, YAML parsing, and code execution (10/100). Completeness: Missing 4 actions, variables, and specific resources (10/100). The generated UTR is overly simplistic and lacks the detailed workflow required for code translation between programming languages.",5,1
wf_0002,我想做个能自动生成小红书、微博这些平台的封面图和文案的工具。,30.0,10.0,0.0,80,17.5,20,10,30,"The Generated UTR partially matches the intent by covering image and text generation for social media, but lacks the detailed multi-platform approach and specific content types (e.g., hashtags, different platform adaptations) of the Ground Truth. Parameters are minimal and miss key details like prompt templates, model configurations, and platform-specific requirements. Logic/flow is oversimplified to sequential actions without the complex multi-step processing and conditional flows. Completeness is poor as it omits most actions (e.g., error checking, multiple platform generations, image rendering, URL extraction) and includes unnecessary resources and control intents not in the Ground Truth.",18,2
wf_0003,我想做一个能自动生成完整教程的流程，只要输入教程名称就行。,39.333333333333336,33.333333333333336,0.0,80,15.0,20,10,10,"Intent Match: Generated UTR aims to generate tutorial content but lacks the detailed multi-step process (outline generation, parsing, content expansion, integration) of Ground Truth, achieving only basic goal alignment. Parameter Accuracy: Key parameters like prompt templates, model configurations, and code execution details are missing or incorrect; 'tutorial_name' is present but insufficient. Logic/Flow: Generated UTR has a single sequential step, missing the complex flow of multiple actions and data transformations in Ground Truth. Completeness: Only one action included, omitting all necessary steps for a complete tutorial generation process.",5,1
wf_0004,我想做一个能根据我的问题，自动从文档里找答案并回复的聊天工具。,37.42857142857143,28.571428571428577,0.0,80,10.0,20,0,10,"The generated UTR fails to match the ground truth in most dimensions. Intent: It partially addresses document-based Q&A but lacks the intent analysis step and specific LLM configuration. Parameter: No parameters are defined (empty args), missing all key elements like prompt templates and model settings. Logic: Sequential flow is correct but oversimplified, missing conditional logic for intent analysis. Completeness: Only includes basic extraction and generation steps, omitting multiple LLM actions and variables needed for the full workflow.",5,2
wf_0005,我想把中文翻译成英文，先让翻译工具翻一遍，再用AI润色一下让它更地道。,71.25,100.0,17.5,80,77.5,100,40,100,Intent Match: Perfect - both UTRs implement translation followed by AI polishing. Logic/Flow: Perfect - sequential execution matches instruction. Parameter Accuracy: Low - generated UTR lacks critical parameters like query input for translation and detailed prompt for LLM generation. Completeness: Moderate - includes necessary steps but has unnecessary variables and missing key argument details.,2,2
wf_0006,我想做一个能自动读取CSV文件内容的工具。,26.0,0.0,0.0,80,22.5,20,10,50,"Intent: Generated UTR uses 'web_scraper' for CSV reading, which is semantically incorrect (web scraping vs. file reading), achieving only partial goal match. Parameters: Missing key parameters like file path resolution and CSV parsing details; 'file_path' is vague. Logic: Single action is simpler but lacks the two-step flow (find file, read CSV) of Ground Truth. Completeness: Missing essential steps: file discovery, error handling, and data processing; includes unnecessary 'web_scraper' and 'file_type' variable.",2,1
wf_0007,我想做一个能自动搜索网页、读取内容并整理成表格的工具。,46.0,50.0,0.0,80,38.0,60,10,40,"The generated UTR partially matches the intent by including web search, content reading, and table generation steps, but lacks the specific implementation details and flow of the ground truth. Parameters are mostly missing or empty, failing to specify inputs like URLs or prompts. Logic is oversimplified with sequential flow but misses the complex multi-step processing (JinaReader, code execution for URL extraction and splitting). Completeness is low as it omits critical actions (code execution, specific LLM configuration) and includes unnecessary resources (网页, 表格 as data types).",5,3
wf_0008,我想修一下损坏的JSON数据。,26.0,0.0,0.0,80,25.0,20,10,50,"The generated UTR partially matches the intent to repair JSON but uses 'llm_generation' instead of direct code execution, missing the specific repair implementation. Parameters are incorrect: 'data' is vague vs. 'code' with Python script, and key variable 'llm_string' is missing. Logic is sequential but oversimplified; control_intents are unnecessary. Completeness is low: lacks the actual repair tool/code, resources mismatch (data vs. tool), and variables are incomplete. Total score reflects poor alignment with ground truth.",1,1
wf_0009,我想把JSON文件里的内容批量翻译成另一种语言。,37.42857142857143,28.571428571428577,0.0,80,19.0,20,10,30,"Intent Match: Generated UTR partially matches the goal of translating JSON content but misses critical aspects like extracting translatable text from JSON structure and reassembling. Parameter Accuracy: Key parameters are missing (e.g., JSON data input, translation content specification) and incorrect (e.g., using web_scraper for file reading). Logic/Flow: Sequential flow is correct but oversimplified; lacks conditional logic for handling JSON structure. Completeness: Missing essential steps: extraction of translatable text from JSON, handling of non-translatable content, and reassembly of translated JSON.",5,2
wf_0010,帮我检查一下中文、英文和日文的内容是不是表达同一个意思。,39.333333333333336,33.333333333333336,0.0,80,15.0,20,10,10,"The Generated UTR fails to match the Ground Truth UTR in most dimensions. Intent Match is low (20/100) because it oversimplifies the task to translation and analysis, missing the detailed document comparison and correction workflow. Parameter Accuracy is very low (10/100) as key parameters like URLs, code execution, and specific prompts are absent. Logic/Flow is poor (10/100) due to a simplistic sequential flow that lacks the multi-step processing and conditional checks. Completeness is minimal (10/100) as it omits essential steps such as content extraction, baseline language selection, and language-specific LLM checks, while adding unnecessary resources. The total score reflects a significant mismatch in semantic equivalence and execution details.",10,2
